Data,Winners,Universo,Losers
2005-02-02,1.0189059540889838,1.0124697555018283,1.0118981770374618
2005-02-03,1.0301918494758553,1.0294771636032327,1.0288382391774635
2005-02-04,1.0546994457154313,1.052260915173953,1.0527917068978903
2005-02-07,1.0546994457154313,1.052260915173953,1.0527917068978903
2005-02-08,1.0546994457154313,1.052260915173953,1.0527917068978903
2005-02-09,1.0649436599698934,1.060146731615955,1.0608336641377
2005-02-10,1.06421459206445,1.0623803453193301,1.0624385417928333
2005-02-11,1.063822685949065,1.0681525968818162,1.0697524648049628
2005-02-14,1.0691947286044141,1.0701102391739281,1.0723869095719913
2005-02-15,1.0734688527321055,1.0761440868817955,1.0787634438485338
2005-02-16,1.0625623508649995,1.0730579236782678,1.0761939829641705
2005-02-17,1.0782956927293201,1.0987048915013122,1.101141854927654
2005-02-18,1.0799379051031957,1.0961612519114747,1.0954591734802137
2005-02-21,1.0771092960801016,1.0997085129662905,1.0987124703063824
2005-02-22,1.0935723923391412,1.1004242379094034,1.099592660029845
2005-02-23,1.0851421456056054,1.1018006734603891,1.1028843648188227
2005-02-24,1.102598547451765,1.1336343273608895,1.1362198332652305
2005-02-25,1.1140758666570916,1.1345075106139924,1.1350149115795136
2005-02-28,1.1147356461378934,1.1346400980730382,1.1356933468679067
2005-03-02,1.1041703653738275,1.1410255523085682,1.143072141381719
2005-03-03,1.112639748680114,1.1481150271249954,1.150850749198728
2005-03-04,1.1158397897013392,1.157517551693015,1.1607979016610026
2005-03-07,1.116752776922081,1.164789846979535,1.1702007427642986
2005-03-08,1.106707693405448,1.1559169758844272,1.1613580369701084
2005-03-09,1.1088392499904232,1.1506414076753932,1.1549031772341543
2005-03-10,1.1172594139577452,1.1512296693121489,1.1545523939171127
2005-03-11,1.092475095178187,1.1443578512591708,1.1480483318099326
2005-03-14,1.1016807150301022,1.1476609121695474,1.1512124947600029
2005-03-15,1.1077764862030537,1.1389347818125606,1.1399884805487965
2005-03-16,1.1102329093163277,1.146786065929918,1.1486210754163066
2005-03-17,1.1218954984432328,1.154167020400483,1.1532259170900163
2005-03-18,1.11979936574399,1.1422770378225018,1.1391984978649825
2005-03-21,1.1333770267043168,1.1411064799513904,1.1336800054209777
2005-03-22,1.1059132258832876,1.119760585483588,1.1137147463776125
2005-03-23,1.0892611887170491,1.1047896052957376,1.0985392986826823
2005-03-24,1.0961140268346967,1.1154446654598547,1.1098729094858621
2005-03-25,1.0961140268346967,1.1154446654598547,1.1098729094858621
2005-03-28,1.0812198695239843,1.103437475637383,1.0973332151107196
2005-03-29,1.0543876671012258,1.0881546000687667,1.0825380417163828
2005-03-30,1.0540482419524666,1.0981383874792627,1.0935268473674384
2005-03-31,1.0357953023507571,1.103682157913243,1.0998260341578958
2005-04-04,1.012849209420657,1.0920313857756887,1.0894708770696395
2005-04-05,1.0028203384219536,1.0867293295534728,1.084372823165203
2005-04-06,0.9894214132019792,1.0716813493340545,1.070031361742769
2005-04-07,0.9978637101224588,1.0841663552957046,1.0833068106179002
2005-04-08,0.9771467464767278,1.0808132149355927,1.0820119954682623
2005-04-11,0.9722579681439879,1.0797645636722486,1.07985232839385
2005-04-12,0.9742503077615351,1.0829165771754548,1.0833230934023725
2005-04-13,0.9687809185541575,1.0799117134185219,1.0804125973578016
2005-04-14,0.9448414040629805,1.054485300882997,1.0544778289521086
2005-04-15,0.9361139745338546,1.0406214860710177,1.0412604859257704
2005-04-18,0.9445728682932203,1.04581470119032,1.0463392362557038
2005-04-19,0.9606085883862857,1.0574599091231234,1.057962393448999
2005-04-20,0.9514314681248018,1.0541679213279973,1.054702883282734
2005-04-21,0.9514314681248018,1.0541679213279973,1.054702883282734
2005-04-22,0.9503213753557566,1.0471409558546647,1.046923014246036
2005-04-25,0.9652441523291111,1.0490645579172153,1.0483540964231823
2005-04-26,0.9716073690086461,1.0486819546985071,1.047718452855952
2005-04-27,0.982620573870869,1.0516272512418967,1.0495389995007893
2005-04-28,0.9524952080245594,1.0343579744512543,1.0332214633449441
2005-04-29,0.9760905441623867,1.0410863267833808,1.0381389848775018
2005-05-03,0.9696781286320731,1.0383298409153077,1.0353702550552824
2005-05-04,0.9882452918699067,1.0523682057442307,1.0495353490513435
2005-05-05,0.9857969012126901,1.0560663444423282,1.053574488862077
2005-05-06,0.9811213987553156,1.0594908609202132,1.057419258501973
2005-05-09,0.9814338685962942,1.0576820349550493,1.0555009362964203
2005-05-10,0.9592698069338581,1.0455463693003115,1.0444716343922527
2005-05-11,0.9630936071761218,1.046067436902412,1.0436112186297521
2005-05-12,0.9445644739927048,1.0256689871853393,1.0229560701928428
2005-05-13,0.9449440957342373,1.0265696285729056,1.0241325890331163
2005-05-16,0.9532566139969364,1.0321819977696274,1.0299951883934095
2005-05-17,0.9615733269307297,1.0379238213563995,1.036115891436906
2005-05-18,0.9803568571595499,1.0523973099538182,1.0501287503708951
2005-05-19,0.9792829848825865,1.0534867289446996,1.0493626086652645
2005-05-20,0.9670374086208567,1.0443444950310146,1.039614450984676
2005-05-23,0.9564392618410281,1.0335232317365275,1.027619779292909
2005-05-24,0.9633153935969972,1.0391673706980127,1.0334154464908143
2005-05-25,0.9715355566187363,1.042840451320174,1.036419934774242
2005-05-26,0.9715355566187363,1.042840451320174,1.036419934774242
2005-05-27,0.9795028674113755,1.0614643671335142,1.0563623858983162
2005-05-30,0.9921113606433177,1.0695959570715297,1.064706055934474
2005-05-31,1.00003145762186,1.0682217427004788,1.0626218772910367
2005-06-02,1.0048991990444711,1.084461074382431,1.0797698846978458
